Date,Open,High,Low,Close,Volume,Change %,Return,MA5,MA20,Volatility,Signal,Position,Strategy_Return,Cumulative_Market,Cumulative_Strategy,PositionChange,Vol_Regime
2023-10-10,19709.1,19862.95,19709.1,19850.1,475.40K,0.0099,0.009892829797030211,19715.420000000002,19920.640000000003,92.93526779388537,-1,-1.0,-0.009892829797030211,1.1228734100956275,1.249995799826528,0.0,Low
2023-10-11,19920.0,19985.0,19903.4,19965.75,341.65K,0.0058,0.005826167122583881,19790.560000000005,19912.0525,117.52021102738027,-1,-1.0,-0.005826167122583881,1.1294154582403502,1.2427131153942108,0.0,Low
2023-10-12,19965.9,19994.85,19925.0,19965.2,294.00K,0.0,-2.7547174536346475e-05,19845.77,19902.795,134.03798425126112,-1,-1.0,2.7547174536346475e-05,1.129384346035598,1.2427473486292993,0.0,Low
2023-10-13,19840.0,19938.95,19815.25,19866.4,475.50K,-0.0049,-0.00494861058241336,19860.620000000003,19884.7525,128.9232691691106,-1,-1.0,0.00494861058241336,1.1237954627091942,1.2488972213099923,0.0,Low
2023-10-16,19850.0,19920.0,19824.0,19868.2,375.75K,0.0001,9.060524302340056e-05,19903.129999999997,19864.525,130.90537549409763,1,-1.0,-9.060524302340056e-05,1.1238972844702015,1.2487840646737443,0.0,Low
2023-10-17,19937.45,19976.85,19896.3,19933.9,408.95K,0.0033,0.003306791757683225,19919.89,19843.6025,132.66993389998711,1,1.0,0.003306791757683225,1.1276137787469702,1.2529135335259336,2.0,Low
2023-10-18,19921.5,19970.0,19795.15,19812.3,712.80K,-0.0061,-0.00610016103221156,19889.200000000004,19819.895,106.2998567989158,1,1.0,-0.00610016103221156,1.1207351531144731,1.2452705592119881,0.0,Low
2023-10-19,19723.3,19800.1,19656.75,19750.9,1.16M,-0.0031,-0.0030990849118980313,19846.34,19803.052499999998,98.04394550360634,1,1.0,-0.0030990849118980313,1.1172618997112223,1.2414113600107035,0.0,Low
2023-10-20,19691.05,19705.0,19637.0,19654.15,1.32M,-0.0049,-0.004898510953931234,19803.890000000003,19790.905000000002,114.76106446256789,1,1.0,-0.004898510953931234,1.1117889800570768,1.2353302928653564,0.0,Low
2023-10-23,19639.85,19665.9,19357.0,19381.35,4.02M,-0.0139,-0.013880020250176317,19706.519999999997,19768.84,177.36743445591304,-1,1.0,-0.013880020250176317,1.0963573264999618,1.2181838833847292,0.0,Medium
2023-10-25,19407.55,19451.0,19170.0,19224.95,6.36M,-0.0081,-0.008069613313829938,19564.73,19739.07,253.47732727872435,-1,-1.0,0.008069613313829938,1.0875101468213226,1.2280141562687834,-2.0,High
2023-10-26,19149.8,19149.8,18950.0,18972.6,10.44M,-0.0131,-0.013126171979641166,19396.79,19698.0225,337.0048066339295,-1,-1.0,0.013126171979641166,1.073235301604541,1.2441332812774013,0.0,High
2023-10-27,19119.85,19264.95,19119.3,19239.9,443.50K,0.0141,0.014088738496568887,19294.590000000004,19668.572500000002,338.00290354594216,-1,-1.0,-0.014088738496568887,1.0883558331141336,1.2266050128226058,0.0,High
2023-10-30,19230.3,19339.0,19124.35,19326.05,502.90K,0.0045,0.004477674000384457,19228.969999999998,19653.019999999997,328.4943803002173,-1,-1.0,-0.004477674000384457,1.0932291357312356,1.2211126754479489,0.0,High
2023-10-31,19411.25,19411.25,19226.25,19261.8,396.10K,-0.0033,-0.0033245282921238184,19205.06,19624.78,311.8937192555333,-1,-1.0,0.0033245282921238184,1.089594664539723,1.2251722990853466,0.0,High
2023-11-01,19251.4,19277.6,19157.05,19165.4,252.40K,-0.005,-0.005004724376745595,19193.15,19598.2975,273.2880417759264,-1,-1.0,0.005004724376745595,1.084141543561329,1.2313039487562927,0.0,High
2023-11-02,19300.0,19359.3,19250.0,19342.2,361.10K,0.0092,0.009224957475450601,19267.07,19585.905000000002,226.96713442931966,-1,-1.0,-0.009224957475450601,1.0941427031980517,1.2199452221896614,0.0,Medium
2023-11-03,19443.95,19465.9,19390.6,19406.9,247.25K,0.0033,0.003345017629845737,19300.47,19571.7925,176.97387158044,-1,-1.0,-0.003345017629845737,1.0978026298298162,1.215864483913991,0.0,Medium
